name;year;genre;director;cast;rating;votes
Shobhayatra;2004;*Comedy, Drama*;Vijay Ghatge;*Divya Dutta,Prithvi Sankhala,Vineet Kumar*;4.2;14
Shobhna's Seven Nights;2012;*Drama, Romance*;Sudipto Chattopadhyay;*Lillete Dubey,Bharat Kaul,Anupam Kher*;6.2;19
Shock: Ek Raat;2005;*Horror*;;*,,*;;
Shodh;1981;*Drama*;Biplab Roy Chowdhury;*Om Puri,Kanhu Bandhopodhyay,Tapti Bhatachrjee*;6.9;11
Shoe Maker;2021;*Drama*;Parvinder Singh Wraich;*Harkiran Kaur Wraich,Vinamarjot Singh Wraich,Chitragupta Sinha*;;
Shoebox;;*Drama*;Faraz Ali;*,,*;;
Shoharat;1956;**;N.R. Acharya;*K. Amarnath,,*;;
Shohrat;1996;*Drama, Romance*;Sathish Ranjan;*Mahesh Anand,Aparajita,Asrani*;6.4;5
Shohrat the Trap;2018;*Thriller*;Deepak Ramteke;*Mayank Agarwal,Avinash Baviskar,Anil Bhavnani*;5.2;101
Shoke Dilruba;1936;**;Jagatrai Pesumal Advani;*,,*;;
Shokhiyan;1951;*Romance*;Kidar Nath Sharma;*Suraiya,Prem Nath,Jeevan*;;
Shola Aur Barood;2001;*Action*;Teerat Singh;*Shakti Kapoor,Satnam Kaur,Kiran Kumar*;;
Shola Aur Shabnam;1961;*Drama, Family*;Ramesh Saigal;*Dhumal,Jeevan Kala,Ruby Mayer*;7.3;48
Shola Aur Shabnam;1992;*Action, Comedy, Drama*;David Dhawan;*Govinda,Divya Bharti,Gulshan Grover*;6.5;932
Shola Bai;2002;*Action*;Kanti Shah;*Arun Mathur,Anil Nagrath,Amit Pachori*;2.8;15
Shola Jo Bhadke;1961;*Action, Comedy*;Master Bhagwan;*Master Bhagwan,Helen,Kumkum*;;
Shola: Fire of Love;2004;*Action, Crime, Drama*;Viji P. Nair;*Tinnu Anand,Rajeev Awasthi,Mohnish Bahl*;;
Sholay;1975;*Action, Adventure, Comedy*;Ramesh Sippy;*Sanjeev Kumar,Dharmendra,Amitabh Bachchan*;8.2;"52;511"
Sholay Aur Toofan;1993;*Action, Crime, Drama*;N. Paryani;*Sripradha,Raaj Premi,Damini*;;
Shole;1953;*Drama*;B.R. Chopra;*Ashok Kumar,Bina Rai,Purnima*;7.1;29
Shool;1999;*Action, Crime, Drama*;Eeshwar Nivas;*Manoj Bajpayee,Raveena Tandon,Sayaji Shinde*;7.7;"2;932"
Shoonya;2006;*Drama*;Arindam Mitra;*Sohrab Ardeshir,Seema Biswas,Tulip Joshi*;6.8;31
Shoonya;2020;*Drama*;Vatsa;*Spruha Joshi,Bhanu Singh,Suhasi*;;
Shoorveer;1988;*Drama*;Shyam Ralhan;*Rajan Sippy,Mandakini,Deepti Naval*;5;8
Shooter;2021;*Action, Crime, Drama*;Vishram Sawant;*Michelle Krusiec,Randeep Hooda,Sunil Shetty*;;
Shootout at Byculla;;*Thriller*;Sanjay Gupta;*,,*;;
Shootout at etawah safari;2018;*Thriller*;Raja;*,,*;;
Shootout at Kanpur;2019;*Drama*;Chandan Jaiswal;*Badri,Muskaan Khatoon,Shiv Kumar*;;
Shootout at Lokhandwala;2007;*Action, Crime, History*;Apoorva Lakhia;*Amitabh Bachchan,Sanjay Dutt,Sunil Shetty*;7.1;"9;607"
Shootout at Wadala;2013;*Action, Biography, Crime*;Sanjay Gupta;*Anil Kapoor,John Abraham,Manoj Bajpayee*;5.9;"6;439"
Shor;1972;*Drama*;Manoj Kumar;*Manoj Kumar,Jaya Bachchan,Prem Nath*;7.2;337
Shor in the City;2010;*Crime, Drama*;Krishna D.K.;*Raj Nidimoru,Sendhil Ramamurthy,Tusshar Kapoor*;7.2;"3;502"
Shor Se Shuruaat;2016;*Drama*;Amira Bhargava;*Rahul V. Chittella,Satish Raj Kasireddi,Pratik Kothari*;6.6;145
Shorgul;2016;*Drama*;Pranav Singh;*Jitendra Tiwari,Jimmy Sheirgill,Ashutosh Rana*;5.7;268
Shortcut Romeo;2013;*Action, Crime, Drama*;Susi Ganesan;*Neil Nitin Mukesh,Ameesha Patel,Puja Gupta*;2.3;252
Shortcut Safari;2016;*Adventure, Drama, Mystery*;Amitabha Singh;*Jimmy Sheirgill,Aashi Rawal,Stuti Dwivedi*;6.4;70
Shortkut - The Con Is On;2009;*Comedy, Drama*;Neeraj Vora;*Anil Kapoor,Sanjay Dutt,Akshaye Khanna*;3.4;884
Shorts;2013;*Drama*;Neeraj Ghaywan;*Siddharth Gupt,Rohit Pandey,Anirban Roy*;6.5;444
Shouting Silence;2021;*Crime, Drama, Thriller*;Jaimin Bal;*Sachin Khedekar,Samir Singh,Tapaswini Reddy*;;
Show Me DeMoney;;*Documentary*;Manav Wadhwa;*,,*;;
Showbiz;2007;*Action, Drama, Music*;Raju Khan;*Tushar Jalota,Mrinalini Sharma,Vishal Agarwala*;3.6;114
Showtime - A Mocumentry;;*Drama*;Akshay Kumar;*Sunny Leone,Sanjay Dutt,Sunil Shetty*;;
Shraap;;*Horror*;Faisal Saif;*Rajpal Yadav,Kavita Radheshyam,Yashpal Sharma*;;
Shraddha Shakti Jai Ambe Maa;2005;*Drama*;Sunil Bhumkar;*Ritika De,Nishi Verma,Sanjay Wankhede*;;
Shraddha: In the Name of God;2011;*Drama*;Hamid Ali;*Seema Biswas,Benjamin Gilani,Dinesh Hingoo*;;
Shraddhaandh;2000;*Horror*;Shahajii Raje;*Raza Murad,,*;;
Shradhanjali;1981;*Drama, Family*;Anil Sharma;*Rakhee Gulzar,Suresh Oberoi,Deepak Parashar*;7.3;18
Shrameya: The Laborious;2008;*Drama*;Manohar Singhal;*Sulabha Deshpande,Govind Namdeo,Nirmal Pandey*;;
Shrant;1984;*Thriller*;G.G. Banerji;*Govind Banerji,Priyanka Banerji,Anil Karve*;;
Shravan Kumar;1984;*Drama*;Chandrakant;*Chandrima Bhaduri,Abhi Bhattacharya,Bharat Bhushan*;7.5;8
Shravan Kumar;1948;**;Ram Daryani;*Mumtaz Shanti,Pahadi Sanyal,Chandra Mohan*;;
Shravan Kumar;1932;**;Mukhtar Begum;*Abdul Rehman Kabuli,Panna Rani,*;;
Shravan Kumar;1960;*Drama*;Sharad Desai;*Ananth Kumar,Nalini Chonkar,Achala Sachdev*;;
Shree;2013;*Sci-Fi, Thriller*;Rajesh Bachchani;*Hussain Kuwajerwala,Anjali Patil,Shivani Tanksale*;6.3;269
Shree 420;1955;*Comedy, Crime, Drama*;Raj Kapoor;*Nargis,Raj Kapoor,Nadira*;8;"2;612"
Shree Ganesh;1962;*Adventure, Drama, Fantasy*;S.S. Dharwadkar;*Mahipal,Sahira,Indira*;7.5;6
Shree Krishna Bhakti;1955;**;Babubhai Mistry;*Bipin Gupta,Manmohan Krishna,Krishna Kumari*;;
Shree Krishna Bhakti;1973;*Drama*;Jeevan;*Lalita Kumari,Shahu Modak,B.M. Vyas*;;
Shree Krishnarjun Yuddh;1971;*Adventure, Drama, History*;Babubhai Mistry;*Abhi Bhattacharya,Jayshree Gadkar,Mahipal*;7;6
Shree Muktajeevan Swamibapa;2008;*Documentary*;Nishit Jadawala;*,,*;;
Shree Ram Bhakta Hanumaan;1985;*Drama*;Ganga;*,,*;;
Shree Ram Bharat Milan;1965;*Adventure, Family*;Manibhai Vyas;*Prithviraj Kapoor,Mahipal,Anita Guha*;7.6;5
Shree Rama Pattabhishekam;1962;**;G.K. Ramu;*P. Subramaniam,Prem Nazir,Thikkurisi Sukumaran Nair*;;
Shree Satyanarayan Ki Maha Pooja;1975;*Drama*;Rajni Bala;*Bharat Bhushan,Mohan Choti,Manher Desai*;;
Shree Satyanarayana Pooja;1990;*Drama*;Bhavya;*Kalyan Kumar,Vijayalaxmi,*;;
Shreelancer;2017;*Drama*;Sandeep Mohan;*Arjun Radhakrishnan,Falah Faisal,Chandan Gill*;7.2;92
Shreemaan Aashique;1993;*Comedy, Romance*;Deepak Anand;*Rishi Kapoor,Urmila Matondkar,Bindu*;4.8;135
Shreeman Funtoosh;1965;*Comedy, Drama, Fantasy*;Shantilal Soni;*Kishore Kumar,Kumkum,Anoop Kumar*;6;26
Shri Chaitanya Mahaprabhu;1954;*Biography*;Vijay Bhatt;*Bharat Bhushan,Durga Khote,Ram Mohan*;6.8;6
Shri Datta Darshan;1988;*Drama*;Kamalakara Kameshwara Rao;*Sarvadaman Banerjee,Ranganath,Sivakrishna*;;
Shri Datta Darshanam;1985;*Musical, Drama*;Kamalakara Kameshwara Rao;*Sarvadaman Banerjee,Ramana Murthi J.V.,Jyotirmayi*;8.2;19
Shri Durga Pooja;2005;*Drama*;Lakshmi;*,,*;;
Shri Ganesh Janma;1951;*Fantasy*;Jayant Desai;*Jeevan,Trilok Kapoor,Nirupa Roy*;;
Shri Ganesh Mahima;1950;*Drama, Fantasy*;Homi Wadia;*Mahipal,Meena Kumari,Moolchand*;;
Shri Ganesh Vivah;1955;**;Jaswant Jhaveri;*Prem Adib,Jeevan,Durga Khote*;;
Shri Krishn Arjun Yuddha;1945;*Drama, Fantasy, History*;Mohan Sinha;*Prithviraj Kapoor,Shobhna Samarth,Shahu Modak*;;
Shri Krishna Bhakta Narsi;1993;*Drama*;Ramesh Puri;*Rajni Bala,Raja Bundela,Puneet Issar*;;
Shri Krishna Darshan;1950;**;Usha Kiran;*,,*;;
Shri Krishna Leela;1971;*Adventure, Comedy, Drama*;Homi Wadia;*Pritam Arjun,Baburaje,Master Baby*;7.3;19
Shri Laxminath Gosai;2021;*Biography*;Ramesha K. Barti;*,,*;;
Shri Mata Tere Roop Anek;1982;*Drama*;Srividya;*Major Sunderan,,*;;
Shri Nagad Narayan;1955;**;I.S. Johar;*Majnu,Motilal,Murad*;;
Shri Ram Avtar;1950;**;W. Garcher;*Amarnath,Leela Mishra,Shahu Modak*;;
Shri Ram Hanuman Yudha;1975;*Drama*;Bapu;*Janardhana Rao Arja,Saroja Devi B.,Dhulipala*;;
Shri Ramanuja;1943;**;Debaki Bose;*Biman Bandopadhyay,Chhayadevi,Hiralal*;6.5;8
Shri Satyanarayan;1935;**;Leela Chitnis;*,,*;;
Shri Satyanarayan Vrat Katha;1997;*Drama*;Vijay Pande;*Firoz Ali,Sudhir Dalvi,Gulshan Kumar*;;
Shri Siddhivinayak Mahima;2007;*Drama, Family, History*;Arun Nalawade;*Subodh Bhave,Tushar Dalvi,Milind Jadhav*;4.3;7
Shri Vishnu Bhagwan;1951;*Fantasy*;Raja Nene;*Jankidas,Trilok Kapoor,Usha Kiran*;;
Shrikrishna Satyabhama;1951;**;Raja Paranjpe;*,,*;;
Shriman Satyawadi;1960;*Action, Crime, Drama*;S.M. Abbas;*Raj Kapoor,Shakila,Mehmood*;7;68
Shriman Shrimati;1982;*Comedy, Drama, Family*;Vijay Reddy;*Sanjeev Kumar,Rakhee Gulzar,Rakesh Roshan*;6.4;139
Shriman Shrimati Lekin Abhi Shadi Nahi Hui;2000;*Comedy*;Laila;*Shivaji,,*;;
Shrimanji;1968;*Drama, Family*;Ram Dayal;*Kishore Kumar,I.S. Johar,Jeevan*;6.6;29
Shrimati 420;1956;*Comedy*;G.P. Sippy;*Johnny Walker,Meena Shorey,Om Prakash*;;
Shrimati Ji;1952;*Comedy, Thriller*;I.S. Johar;*Nasir Khan,Shyama,I.S. Johar*;4.1;7
Shringaar;2013;*Drama, History*;Kumaar Aadarsh;*Kumaar Aadarsh,Sahil Khan,Khushi Mukherjee*;5;7
Shubdin;1974;*Drama*;H. Taygrajan;*Gulshan Arora,Madhu Chanda,Shashi Kiran*;;
Shubh Din;1974;*Drama, Fantasy*;P. Thyagarajan;*Shashi Kiran,,*;;
Shubh Kaamna;1983;*Comedy, Drama*;K. Viswanath;*Rati Agnihotri,Asrani,Utpal Dutt*;6.3;16
Shubh Mangal Savdhan;2017;*Comedy, Romance*;R.S. Prasanna;*Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava*;6.9;"9;094"
Shubh Mangal Zyada Saavdhan;2020;*Comedy, Romance*;Hitesh Kewalya;*Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao*;5.8;"8;208"
Shubh Raatri;2020;*Horror*;Pankaz Singh Tanwar;*Simran Ahemad,Nemi Chand,Jaya Goswami*;4.5;67
Shuddh Desi Romance;2013;*Comedy, Drama, Romance*;Maneesh Sharma;*Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor*;6;"8;447"
Shuddhi;2017;*Crime, Drama, Thriller*;Adarsh Eshwarappa;*Lauren Spartano,Niveditha,Amrutha Karagada*;7.9;374
Shudra the Rising;2012;*History*;Sanjiv Jaiswal;*Priya Annatram,Habib Azmi,Pravin Baby*;6.8;215
SHUDRA: The Untouchables;2011;*Drama, Family, History*;Sanjiv Jaiswal;*Sridhar Dubey,,*;7.8;23
Shuk Rambha;1953;*Fantasy*;Dhirubhai Desai;*Anjali Devi,Nirupa Roy,Bharat Bhushan*;;
Shukranu;2020;*Drama*;Bishnu Dev Halder;*Divyendu Sharma,Shweta Basu Prasad,Sheetal Thakur*;6.4;678
Shukrdosh;2021;*Comedy*;Anup Thapa;*Puneet Issar,Mugdha Godse,Grusha Kapoor*;;
Shukriya;1944;**;Harnam Singh Rawail;*Zahoor Shah,,*;;
Shukriya: Till Death Do Us Apart;2004;*Musical, Drama, Family*;Anupam Sinha;*Anupam Kher,Aftab Shivdasani,Shriya Saran*;5.1;148
Shukriyaa;1988;*Drama, Romance*;A.C. Trilogchander;*Rajiv Kapoor,Amrita Singh,Asrani*;;
Shuruaat;1993;*Drama, Romance*;Sundardas;*Master Amit,Mohan Choti,C.S. Dubey*;;
Shuruaat Ka Interval;2014;*Drama*;Aarti S. Bagdi;*Amrit Raj Gupta,Krishan Hooda,Shishir Jha*;7.2;68
Shuruaat Ka Twist;2019;*Drama*;Heena Dsouza;*Avalokita Dutt,Praveen Fernandes,Hanish Kalia*;6.6;9
Shut up Sona;2020;*Documentary, Musical*;Deepti Gupta;*,,*;7.1;19
Shuttlecock Boys;2011;*Comedy, Drama*;Hemant Gaba;*Aakar Kaushik,Manish Nawani,Alok Kumar*;6.2;111
Shyam Ki Jogan;1957;**;Sulochana Latkar;*Kamal Mehra,Shahu Modak,*;;
Shyam Sundar;1932;*Drama*;Bhalji Pendharkar;*Shahu Modak,Shanta Apte,Bandopant Sohoni*;;
Shyam Sundar Shreenath;;**;Rajeev Srivastava;*,,*;;
Shyama;1953;**;Joshiy;*Vinayan,Shyama,*;;
Shyamla;1979;*Action*;Joginder Shelly;*Jalal Agha,Rita Bhaduri,Master Bhagwan*;;
Siddeshwari;1990;*Documentary*;Mani Kaul;*Mita Vashisht,Muhar Biswas,Ranjana Srivastava*;7.5;77
Siddhart (The Journey);;*Drama*;Hamid Hn;*,,*;;
Siddharth;2013;*Drama*;Richie Mehta;*Rajesh Tailang,Tannishtha Chatterjee,Anurag Arora*;7.3;671
Siddharth: The Prisoner;2009;*Crime, Drama, Thriller*;Pryas Gupta;*Rajat Kapoor,Sachin Nayak,Pradip Sagar*;6.6;105
"Siddhartha: Love; Lust; Peace";;*Drama*;Mukul Misra;*Shivam Bhaargava,Mahesh Bhatt,Shazahn Padamsee*;;
Sikandar;1976;**;Sai Paranjape;*Veeni Paranjape Joglekar,Kulbhushan Kharbanda,Manorama Wagle*;;
Sikandar;2009;*Crime, Drama, Mystery*;Piyush Jha;*Parzaan Dastur,Ayesha Kapoor,Sanjay Suri*;6.4;262
Sikandar E Azam;1965;*Adventure, Drama, History*;Kedar Kapoor;*Prithviraj Kapoor,Dara Singh,Mumtaz*;7.9;35
Sikandar Ki Lalkar;1993;*Action*;Chiranjeevi;*Silk Smitha,,*;;
Sikandar Sadak Ka;1999;*Action, Drama*;T.L.V. Prasad;*Mithun Chakraborty,Manek Bedi,Monica Bedi*;3.9;12
Sikka;1989;*Action, Drama*;K. Bapaiah;*Mahesh Anand,Asrani,Brahmachari*;4.5;35
Sikka;1976;**;Dilip Bose;*Anil Dhawan,Ambika Johar,Satyendra Kapoor*;;
Sila;1988;*Drama*;B.R. Ishara;*Raj Kiran,Priya Tendulkar,Sadashiv Amrapurkar*;;
Silence of Sleep;2020;*Thriller*;Sudhish Kumar;*Naina Khan,Rishabhraj Mehrotra,Udayyan Raathore*;;
Silence Please... The Dressing Room;2004;*Thriller*;Sanjay Srinivas;*Tom Alter,Salil Ankola,Sonali Kulkarni*;2.9;13
Silence the Court Is in Session;2015;*Drama*;Ritesh Menon;*Nandita Das,Pravina Bhagwat Deshpande,Ajitesh Gupta*;6.2;13
Silence: Can You Hear It;2021;*Crime, Thriller*;Aban Bharucha Deohans;*Sahil Vaid,Manoj Bajpayee,Hitha Chandrashekar*;6.6;"3;324"
Silent House Remake;;*Horror*;;*,,*;;
Silky;1984;*Thriller*;Bhanuchander;*Raghuvaran,Silk Smitha,*;;
Silsiilay;2005;*Drama*;Khalid Mohamed;*Tabu,Bhoomika Chawla,Riya Sen*;4;696
Silsila;1981;*Drama, Family, Romance*;Yash Chopra;*Amitabh Bachchan,Shashi Kapoor,Jaya Bachchan*;7.3;"2;603"
Silsila Hai Pyar Ka;1999;*Comedy, Drama, Romance*;Shrabani Deodhar;*Karisma Kapoor,Chandrachur Singh,Aruna Irani*;2.5;209
Silvat;2018;*Drama, Romance*;Tanuja Chandra;*Kartik Aaryan,Amal Farooque,Maaman Memon*;7.1;168
Silver King;1935;**;Chimanlal Luhar;*Sabita Devi,Motilal,Sriranjani Sr.*;;
Silver King;1957;*Action*;Habib;*Kamran,Ranjan Kapoor,Sheela Vaz*;;
Silver Queen;1946;*Action*;Raja Yagnik;*Madhuri,Navinchandra,Agha*;;
Sim Sim Marjeena;1958;*Fantasy*;Helen;*Mahipal,Shakila,Niranjan Sharma*;;
Simba;1951;*Action, Adventure*;Mohammed Hussain;*,,*;;
Simhadriya Simha;2002;*Action, Drama*;S. Narayan;*Vishnuvardhan,Meena,Bhanupriya*;8.5;66
Simla Road;1969;*Action, Crime, Mystery*;Jugal Kishore;*Hiralal,Jugal Kishore,Dev Kumar*;6;5
Simmba;2018;*Action, Comedy, Crime*;Rohit Shetty;*Sam Nagar,Ranveer Singh,Sara Ali Khan*;5.6;"15;244"
Simran;2017;*Crime, Drama, Thriller*;Hansal Mehta;*Kangana Ranaut,Sohum Shah,Esha Tewari*;5.1;"3;254"
Sin Story;;*Thriller*;Sanjay Amar;*Pamela Mandal,Prashantt Guptha,*;;
Sinbad Jahazi;1952;*Adventure*;Nanabhai Bhatt;*Nirupa Roy,,*;4;8
Sindbad Alibaba and Aladdin;1965;*Adventure, Fantasy, Musical*;Prem Narayan Arora;*Agha,Master Bhagwan,Helen*;3.7;7
Sindbad the Sailor;1952;*Fantasy*;Master Bhagwan;*Jayant,Pran,Ranjan*;;
Sindhustan;2019;*Documentary, Family, History*;Sapna Bhavnani;*Leila Advani,Laj Badlani,Chaho Bhara*;9.3;36
Sindoor;1947;**;Kishore Sahu;*Mehmood,Kishore Sahu,*;;
Sindoor;1987;*Comedy, Drama*;K. Ravi Shankar;*Shashi Kapoor,Govinda,Neelam Kothari*;5.1;113
Sindoor Bane Jwala;1982;**;K. Bapaiah;*Sanjeev Kumar,Rajshree,Sharada*;;
Sindoor Ka Daan;1984;*Drama*;Rajni Bala;*Jayshree Gadkar,Rajan Haksar,Arvind Kumar*;;
Sindoor Ki Holi;1996;*Action*;Shagufta Ali;*Sangeeta Ghosh,Bharat Kapoor,Kader Khan*;;
Sindoor Ki Saugandh;2002;*Action*;Swaroop Kumar;*Ishrat Ali,Arun Bakshi,Pinky Chinoy*;;
Sindoor Mange Khoon;2001;*Action*;Hemant Birje;*Adi Irani,Mohan Joshi,Ravi Kishan*;;
Sindoori;1982;*Drama*;;*,,*;;
Singaar;1949;*Drama, Family*;J.K. Nanda;*Paidi Jairaj,Suraiya,Madhubala*;6.8;9
Singapore;1960;*Crime, Thriller*;Shakti Samanta;*Shammi Kapoor,Padmini,Maria Menado*;6.5;71
Singh Is Bliing;2015;*Action, Comedy*;Prabhu Deva;*Akshay Kumar,Amy Jackson,Lara Dutta*;5;"7;891"
Singh Is King;2008;*Action, Comedy, Crime*;Anees Bazmee;*Akshay Kumar,Katrina Kaif,Om Puri*;5.7;"14;526"
Singh Saab the Great;2013;*Action, Drama*;Anil Sharma;*Sunny Deol,Urvashi Rautela,Prakash Raj*;5.6;"2;200"
Singham;2011;*Action, Crime, Drama*;Rohit Shetty;*Ajay Devgn,Kajal Aggarwal,Prakash Raj*;6.8;"14;788"
Singham;2019;*Action, Drama*;Navaniat Singh;*Priyanka Arya,Sonam Bajwa,Kartar Cheema*;5.5;96
Singham Returns;2014;*Action, Crime, Drama*;Rohit Shetty;*Ajay Devgn,Kareena Kapoor,Amole Gupte*;5.7;"7;675"
Singhasan;1986;*Action, Adventure, Romance*;Krishna Ghattamaneni;*Bharat Bhushan,Leena Das,Gulshan Grover*;5.1;14
Singhwahini;2021;*Documentary*;Lubdhak Chatterjee;*Nihal Parashar,,*;;
Singing with Angry Bird;2016;*Documentary, Drama, Family*;Hyewon Jee;*,,*;7.5;48
Sinhal Dweep Ki Sundari;1937;*Action*;Kikubhai Desai;*Gohar,Mehrunissa,Mirajkar*;;
Sinhal Dweep Ki Sundari;1960;*Fantasy*;Shantilal Soni;*Nalini Chonkar,Daljeet,Anand Kumar*;;
Sinhasan;1934;**;Gajanan Jagirdar;*Shantakumari,,*;;
Sins;2005;*Drama, Romance, Thriller*;Vinod Pande;*Vinod Pande,Gauri Shankar,Shiney Ahuja*;4.2;387
Sipah Salar;1936;**;Jagatrai Pesumal Advani;*Khurshid Begum,,*;;
Sipahi;1941;**;Daud Chand;*Hiralal,Zohra,*;;
Sipahi;1945;*Drama*;G.K. Mehta;*,,*;;
Sipahi Ka Sapna;1948;**;Sushil Majumdar;*,,*;;
Sipahi Ki Sajni;1936;**;Chandulal Shah;*Gohar,Eddie Billimoria,Ram Apte*;;
Sipahiya;1949;**;Aspi Irani;*Madhubala,Lala Yaqoob,Altaf*;;
Sipahsalar;1956;*Action*;Mohammed Hussain;*Shammi Kapoor,Nadira,Kamal Mehra*;;
Sir;2018;*Drama, Romance*;Rohena Gera;*Tillotama Shome,Vivek Gomber,Geetanjali Kulkarni*;7.7;"5;461"
Sir;1993;*Crime, Drama, Romance*;Mahesh Bhatt;*Naseeruddin Shah,Pooja Bhatt,Atul Agnihotri*;6.2;336
Sir Sir Sarla;2020;*Drama*;Suman Mukhopadhyay;*Sanjay Dadhich,Makrand Deshpande,Aahana Kumra*;;
Sirf 5 Din;2018;*Horror*;V. Menon;*Raj Babbar,Anuj Gill,Mahie Gill*;;
Sirf Romance: Love by Chance;2007;*Romance*;Raja Bundela;*Zeenat Aman,Raj Babbar,Arun Bakshi*;3.4;8
Sirf....: Life Looks Greener on the Other Side;2008;*Drama*;Rajatesh Nayyar;*Kay Kay Menon,Manisha Koirala,Ranvir Shorey*;5.8;96
Sisakti Kaliyaan;1991;*Drama*;;*,,*;;
Siskiyaan;2005;*Drama, Thriller*;Ashwini Chaudhary;*Neha Dhupia,Sachin Khedekar,Sonu Sood*;5.1;73
Siskiyan;1983;*Thriller*;Sher Jeng Singh;*Sher Jung Singh,Master Bhagwan,Narendra Chanchal*;;
Sister;1980;*Drama*;Rajdeep;*Rehana Sultan,Gautam Bhatia,Bharat Kapoor*;;
Sisters of the Trees;2018;*Documentary*;Camila Men�ndez;*Lucas Pe�afort,,*;;
Sisters: A Secret Unveiled;;*Drama*;Nisant;*Rajesh Singh,Khushboo Khan,Dollops Singh*;;
Sita Shuddhi;1924;**;Dhundiraj Govind Phalke;*,,*;;
Sita Swayamvar;1976;*Adventure, Drama, Fantasy*;Bapu;*Ravi Kumar,Jaya Prada,Satyanarayana Kaikala*;8.2;29
Sitam;1982;*Drama, Family*;Vikas Desai;*Aruna Raje,Naseeruddin Shah,Smita Patil*;6;14
Sitam;2005;*Drama*;Partho Ghosh;*Kiran Janjani,Tara Sharma,Mallishka*;2.6;20
Sitamgar;1958;**;T. Prakash Rao;*Shivaji Ganesan,Padmini,Ragini*;;
Sitamgar;1985;*Action*;Raj N. Sippy;*Dharmendra,Parveen Babi,Rishi Kapoor*;6.7;54
Sitamgar;1954;*Action*;Aakkoo;*Habib,Nazir Kashmiri,Krishna Kumari*;;
Sitamgarh;1934;*Drama*;Jayant Desai;*Eddie Billimoria,Keki Bawa,Ghori*;;
Sitapur Ki Geeta;1987;*Action, Crime*;Shibu Mitra;*Rajesh Khanna,Hema Malini,Pran*;5.5;31
Sitapur: The City of Gangsters;2021;*Action*;Mobeen Warsi;*Jabbar Akram,Mirza Azhar,Utkarsh Bajpayee*;;
Sitara;1955;**;S.K. Ojha;*Amar,Pratima Devi,Gope*;;
Sitara;1938;**;Ezra Mir;*Rattan Bai,Khurshid Begum,Nazir*;;
Sitara;1980;*Drama, Family*;Meraj;*Mithun Chakraborty,Zarina Wahab,Kanhaiyalal Chaturvedi*;6.5;24
Sitara;2020;*Drama*;Vandana Kataria;*Sobhita Dhulipala,Rajeev Siddhartha,*;;
Sitaramaraju;1999;*Action, Drama, Romance*;Y.V.S. Chowdary;*Nagarjuna Akkineni,Harikrishna Nandamuri,Sakshi Shivanand*;5.7;144
Sitaron Se Aage;1958;*Drama, Musical*;Satyen Bose;*Ashok Kumar,Rajasulochana,Johnny Walker*;6.1;10
Situationship;2019;*Drama*;Victor Mukherjee;*Victor Mukherjee,Khushboo Kankan,Shruti Pathak*;;
Sivaji;2007;*Action, Drama, Thriller*;S. Shankar;*Rajinikanth,Shriya Saran,Suman*;7.5;"18;422"
Sivappathikaaram;2006;*Action*;Karu Pazhaniappan;*Upendra Limaye,Mamta Mohandas,Raghuvaran*;5.5;86
Six December;2012;**;Rati Agnihotri;*Prem Chopra,Neha Dhupia,Mohan Joshi*;;
Six Hours With Terrorists;2011;*Drama*;Karan Kashyap;*Sunil Chauhan,Laila Panda,Abdul Sheikh*;;
Six X;2016;*Drama*;Chandrakant Singh;*Seema Azmi,Shweta Bhardwaj,Hrishitaa Bhatt*;6.9;210
SIXER;2001;*Drama*;Gul Bahar Singh;*Punya Darshan Gupta,Manjushree,*;;
Sixteen;2013;*Drama, Romance, Thriller*;Raj Purohit;*Wamiqa Gabbi,Izabelle Leite,Mehak Manwani*;6.3;"1;680"
Siyaah..;2012;*Horror*;Aziz Naser;*Habeeb Aidroos,Habib Al Aidroos,Zarine Ali*;5.3;63
Siyaasat: The Politics;2006;*Action*;Sadashiv Amrapurkar;*Milind Gunaji,Dinesh Hingoo,Mushtaq Khan*;;
Siyasat;1988;*Action*;Mahesh Bhatt;*Neelam Kothari,,*;3.1;15
Siyasat;1992;*Action, Drama*;Sukhwant Dhadda;*Kumar Gaurav,Kimi Katkar,Shashi Ranjan*;5.8;5
Siyavar Ram - Ramayana;2020;*Animation*;Murugan V.;*,,*;7;6
Skater Girl;2021;*Drama, Family, Sport*;Manjari Makijany;*Amy Maghera,Waheeda Rehman,Rachel Saanchita Gupta*;6.6;"1;154"
Skates;;*Drama*;Chayan Sarkar;*,,*;;
Slender Threads;1973;*Action, Drama*;Raj Khosla;*Vinod Khanna,Moushumi Chatterjee,Kabir Bedi*;7.1;49
Slightly Sane;;*Comedy, Drama*;Pan Nalin;*,,*;;
Slumdog Karodpati;2019;*Thriller*;Rajesh Patole;*Udhav Garje,Rahul Gavane,Govindrao*;;
Slumdog Karodpati;2019;*Thriller*;Rajesh Patole;*Udhav Garje,Rahul Gavane,Govindrao*;;
Smile Please;2004;*Comedy*;Yunus Patel;*Sudha Chandran,Jasbir Jassi,Shakti Kapoor*;;
Smothered Voices;1977;*Drama*;Homi Hormasji;*Mohan Agashe,Gerson Da Cunha,Kulbhushan Kharbanda*;;
